block,cue_direction,cue_text,probe_image_file,correct_response,block_raw,correct_response_raw,cue_direction_raw,cue_text_raw,key_resp_break.duration_raw,key_resp_break.keys_raw,key_resp_break.rt_raw,key_resp_probe.corr_raw,key_resp_probe.duration_raw,key_resp_probe.keys_raw,key_resp_probe.rt_raw,key_resp_rating.duration_raw,key_resp_rating.keys_raw,key_resp_rating.rt_raw,probe_image_file_raw,rating_vividness.response_raw,rating_vividness.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
3,backward,<- 4,stimuli/new1.png,2,1,2,backward,<- 4,nan,,nan,1,,2,2.5260917998384684,,2,0.5888624000363052,stimuli/new2.png,,,83,0,83
3,forward,1 ->,stimuli/banane.png,1,1,2,backward,<- 4,nan,,nan,1,,2,2.231361099984497,,2,0.5486779999919236,stimuli/new3.png,,,84,0,84
3,backward,<- 4,stimuli/banana_lure.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.206171599915251,,4,0.1062685998622328,stimuli/ciseau.png,,,85,0,85
3,forward,1 ->,stimuli/zèbre.png,1,2,1,forward,1 ->,nan,,nan,1,,1,0.5073589999228716,,3,1.865985699929297,stimuli/ciseau.png,,,86,0,86
3,forward,1 ->,stimuli/zèbre.png,1,1,2,backward,<- 4,nan,,nan,1,,2,0.6893239999189973,,2,0.5606444000732154,stimuli/new4.png,,,87,0,87
3,forward,1 ->,stimuli/face.png,1,2,2,backward,<- 4,nan,,nan,1,,2,1.3445083999540657,,2,0.5171445999294519,stimuli/new3.png,,,88,0,88
3,forward,1 ->,stimuli/banane.png,1,2,1,forward,1 ->,nan,,nan,1,,1,0.5423560999333858,,3,0.7283530998975039,stimuli/ciseau.png,,,89,0,89
3,forward,1 ->,stimuli/ciseau.png,1,1,1,forward,1 ->,nan,,nan,1,,1,0.9800263999495655,,3,0.5239601999055594,stimuli/zèbre.png,,,90,0,90
3,backward,<- 4,stimuli/zebra_lure.png,2,2,1,forward,1 ->,nan,,nan,1,,1,0.8506968000438064,,3,0.43799180001951754,stimuli/zèbre.png,,,91,0,91
3,backward,<- 4,stimuli/zebra_lure.png,2,1,2,backward,<- 4,nan,,nan,1,,2,0.9995836999733001,,2,0.5586981000378728,stimuli/banana_lure.png,,,92,0,92
3,forward,1 ->,stimuli/zèbre.png,1,3,2,backward,<- 4,nan,,nan,1,,2,0.7245871000923216,,2,0.6786206997931004,stimuli/banana_lure.png,,,93,0,93
3,backward,<- 4,stimuli/face_lure.png,2,1,1,forward,1 ->,nan,,nan,1,,1,0.6831784001551569,,2,1.5522175999358296,stimuli/ciseau.png,,,94,0,94
3,forward,1 ->,stimuli/ciseau.png,1,1,2,backward,<- 4,nan,,nan,1,,2,0.5977891001384705,,2,0.6014824998565018,stimuli/new1.png,,,95,0,95

extraInfo
participant,sub-098
session,001
date,2025-06-25_15h10.33.860
expName,cued_mental_stim
psychopyVersion,2024.2.4
frameRate,120.81292601824202
sequence_good_key,1
sequence_bad_key,2
allowed_keys_list,"['1', '2']"
expStart,2025-06-25 15h10.56.758963 -0400
